Trans Size,Total Contracts,Contracts,Premiums,Contracts.1,Premiums.1,Contracts.2,Premiums.2,Contracts.3,Premiums.3,porc,ds
TOTAL COMB,84867464,"31,719,662",$18181389346.5000,"53,147,802",$40431119989.5000,"18,855,149",$11036476645.5000,"66,012,315",$47576032690.5000,comb,2020-08-21
CUST (1-10),17037770,"14,484,345",$10767729626.3000,"2,553,425",$3750832877.5400,"5,255,794",$3396170063.8000,"11,598,151",$11500965431.7000,calls,2020-08-28
CUST (11-49),8405338,"7,007,311",$3030681602.4000,"1,398,027",$1615383534.0000,"3,154,277",$1238976220.4000,"5,648,872",$3683921216.0000,calls,2020-08-28
CUST (50-UP),10042287,"7,242,041",$2860500766.2000,"2,800,246",$3814054896.0000,"4,232,281",$1987563534.0000,"6,462,809",$4524882080.0000,calls,2020-08-28
CUST (ALL),35485395,"28,733,697",$16658911994.9000,"6,751,698",$9180271307.5400,"12,642,352",$6622709818.2000,"23,709,832",$19709768727.7000,calls,2020-08-28
FIRM (ALL),1991488,"956,444",$624774182.7000,"1,035,044",$618921723.0000,"965,278",$758321383.0000,"1,135,032",$680479417.0000,calls,2020-08-28
M-M (ALL),34610338,0,$0,"34,610,338",$27883677584.8000,0,$0,"33,634,727",$27195277447.0400,calls,2020-08-28
TOTAL CALLS,72087221,"29,690,141",$17283686177.6000,"42,397,080",$37682870615.3400,"13,607,630",$7381031201.2000,"58,479,591",$47585525591.7400,calls,2020-08-28
CUST (1-10),5156433,"3,441,739",$2379572832.0000,"1,714,694",$909909000.4000,"3,565,377",$2231627266.0000,"2,093,147",$1441315271.0000,puts,2020-08-28
CUST (11-49),2652001,"1,801,732",$745221082.0000,"850,269",$422868213.1000,"1,970,476",$906514263.0000,"1,075,323",$479588132.0000,puts,2020-08-28
CUST (50-UP),3786848,"2,235,705",$845089600.0000,"1,551,143",$892479412.4000,"2,501,913",$1126873056.0000,"1,995,938",$731477184.0000,puts,2020-08-28
CUST (ALL),11595282,"7,479,176",$3969883514.0000,"4,116,106",$2225256625.9000,"8,037,766",$4265014585.0000,"5,164,408",$2652380587.0000,puts,2020-08-28
FIRM (ALL),1556332,"671,482",$458034210.0000,"884,850",$293643159.0000,"523,887",$334034939.0000,"731,998",$342467048.0000,puts,2020-08-28
M-M (ALL),13550653,0,$0,"13,550,653",$8121464214.0000,0,$0,"12,244,208",$7474384563.9000,puts,2020-08-28
TOTAL PUTS,26702267,"8,150,658",$4427917724.0000,"18,551,609",$10640363998.9000,"8,561,653",$4599049524.0000,"18,140,614",$10469232198.9000,puts,2020-08-28
CUST (1-10),22194203,"17,926,084",$13147302458.3000,"4,268,119",$4660741877.9400,"8,821,171",$5627797329.8000,"13,691,298",$12942280702.7000,comb,2020-08-28
CUST (11-49),11057339,"8,809,043",$3775902684.4000,"2,248,296",$2038251747.1000,"5,124,753",$2145490483.4000,"6,724,195",$4163509348.0000,comb,2020-08-28
CUST (50-UP),13829135,"9,477,746",$3705590366.2000,"4,351,389",$4706534308.4000,"6,734,194",$3114436590.0000,"8,458,747",$5256359264.0000,comb,2020-08-28
CUST (ALL),47080677,"36,212,873",$20628795508.9000,"10,867,804",$11405527933.4400,"20,680,118",$10887724403.2000,"28,874,240",$22362149314.7000,comb,2020-08-28
FIRM (ALL),3547820,"1,627,926",$1082808392.7000,"1,919,894",$912564882.0000,"1,489,165",$1092356322.0000,"1,867,030",$1022946465.0000,comb,2020-08-28
M-M (ALL),48160991,0,$0,"48,160,991",$36005141798.8000,0,$0,"45,878,935",$34669662010.9400,comb,2020-08-28
TOTAL COMB,98789488,"37,840,799",$21711603901.6000,"60,948,689",$48323234614.2400,"22,169,283",$11980080725.2000,"76,620,205",$58054757790.6400,comb,2020-08-28
CUST (1-10),19754843,"16,697,596",$11505308441.5000,"3,057,247",$3375991629.5000,"4,935,433",$3345814103.0000,"13,367,495",$10849537390.4000,calls,2020-09-04
CUST (11-49),9956362,"8,100,348",$3537584600.0000,"1,856,014",$1671882167.0000,"3,083,966",$1434781559.0000,"7,160,016",$4146542639.0000,calls,2020-09-04
CUST (50-UP),12201385,"8,788,570",$4337402116.5000,"3,412,815",$4265523695.0000,"4,465,537",$3067225601.0000,"8,164,036",$5621805349.5000,calls,2020-09-04
CUST (ALL),41912590,"33,586,514",$19380295158.0000,"8,326,076",$9313397491.5000,"12,484,936",$7847821263.0000,"28,691,547",$20617885378.9000,calls,2020-09-04
FIRM (ALL),1574423,"821,236",$706306742.0000,"753,187",$474792415.5000,"1,082,101",$1029115529.0000,"956,687",$673354609.0000,calls,2020-09-04
M-M (ALL),40566268,0,$0,"40,566,268",$31570871737.9000,0,$0,"40,838,010",$31277486765.0000,calls,2020-09-04
TOTAL CALLS,84053281,"34,407,750",$20086601900.0000,"49,645,531",$41359061644.9000,"13,567,037",$8876936792.0000,"70,486,244",$52568726752.9000,calls,2020-09-04
CUST (1-10),6571883,"4,353,995",$2842036025.0000,"2,217,888",$1701328290.0000,"3,865,560",$2554245967.5000,"3,412,308",$2590867394.0000,puts,2020-09-04
CUST (11-49),3662756,"2,366,946",$1006111612.0000,"1,295,810",$787729533.0000,"2,274,289",$1055111737.0000,"1,984,960",$959057857.0000,puts,2020-09-04
CUST (50-UP),5353778,"3,149,596",$1262760628.0000,"2,204,182",$1125261580.0000,"3,273,977",$1420118794.0000,"3,064,836",$1118177848.0000,puts,2020-09-04
CUST (ALL),15588417,"9,870,537",$5110908265.0000,"5,717,880",$3614319403.0000,"9,413,826",$5029476498.5000,"8,462,104",$4668103099.0000,puts,2020-09-04
FIRM (ALL),1414668,"722,389",$472888097.0000,"692,279",$363191377.0000,"656,183",$498707236.0000,"733,336",$492888274.5000,puts,2020-09-04
M-M (ALL),19501482,0,$0,"19,501,482",$12009059982.5000,0,$0,"17,239,118",$10881192016.5000,puts,2020-09-04
TOTAL PUTS,36504567,"10,592,926",$5583796362.0000,"25,911,641",$15986570762.5000,"10,070,009",$5528183734.5000,"26,434,558",$16042183390.0000,puts,2020-09-04
CUST (1-10),26326726,"21,051,591",$14347344466.5000,"5,275,135",$5077319919.5000,"8,800,993",$5900060070.5000,"16,779,803",$13440404784.4000,comb,2020-09-04
CUST (11-49),13619118,"10,467,294",$4543696212.0000,"3,151,824",$2459611700.0000,"5,358,255",$2489893296.0000,"9,144,976",$5105600496.0000,comb,2020-09-04
CUST (50-UP),17555163,"11,938,166",$5600162744.5000,"5,616,997",$5390785275.0000,"7,739,514",$4487344395.0000,"11,228,872",$6739983197.5000,comb,2020-09-04
CUST (ALL),57501007,"43,457,051",$24491203423.0000,"14,043,956",$12927716894.5000,"21,898,762",$12877297761.5000,"37,153,651",$25285988477.9000,comb,2020-09-04
FIRM (ALL),2989091,"1,543,625",$1179194839.0000,"1,445,466",$837983792.5000,"1,738,284",$1527822765.0000,"1,690,023",$1166242883.5000,comb,2020-09-04
M-M (ALL),60067750,0,$0,"60,067,750",$43579931720.4000,0,$0,"58,077,128",$42158678781.5000,comb,2020-09-04
TOTAL COMB,120557848,"45,000,676",$25670398262.0000,"75,557,172",$57345632407.4000,"23,637,046",$14405120526.5000,"96,920,802",$68610910142.9000,comb,2020-09-04
CUST (1-10),11895480,"9,622,483",$5506976324.0000,"2,272,997",$1300868574.1500,"3,778,792",$1846357854.0000,"7,129,221",$4222709159.0000,calls,2020-09-11
CUST (11-49),6304560,"4,965,784",$1763679644.0000,"1,338,776",$466093338.5000,"2,270,788",$689035420.0000,"3,986,181",$1517071478.0000,calls,2020-09-11
CUST (50-UP),7858518,"5,513,165",$1562034653.0200,"2,345,353",$736713452.0000,"3,010,911",$784070767.0000,"4,898,272",$1588365887.0200,calls,2020-09-11
CUST (ALL),26058558,"20,101,432",$8832690621.0200,"5,957,126",$2503675364.6500,"9,060,491",$3319464041.0000,"16,013,674",$7328146524.0200,calls,2020-09-11
FIRM (ALL),1542970,"781,729",$414099901.0000,"761,241",$274131090.0000,"1,008,037",$484107571.0000,"825,187",$274642625.0000,calls,2020-09-11
M-M (ALL),24859646,0,$0,"24,859,646",$12322650789.0000,0,$0,"25,553,785",$12940887004.6500,calls,2020-09-11
TOTAL CALLS,52461174,"20,883,161",$9246790522.0200,"31,578,013",$15100457243.6500,"10,068,528",$3803571612.0000,"42,392,646",$20543676153.6700,calls,2020-09-11
CUST (1-10),5275274,"3,606,794",$2061820247.0000,"1,668,480",$1394152397.0000,"2,790,070",$1687040507.0000,"2,648,943",$1861664379.0000,puts,2020-09-11
CUST (11-49),2713921,"1,798,576",$663848081.0000,"915,345",$551840613.0000,"1,533,577",$705382552.0000,"1,416,492",$654388516.0000,puts,2020-09-11
CUST (50-UP),4525046,"2,457,893",$598226506.5000,"2,067,153",$945147720.0000,"2,333,294",$791310693.0000,"2,589,506",$789548206.0000,puts,2020-09-11
CUST (ALL),12514241,"7,863,263",$3323894834.5000,"4,650,978",$2891140730.0000,"6,656,941",$3183733752.0000,"6,654,941",$3305601101.0000,puts,2020-09-11
FIRM (ALL),1635286,"833,706",$369333426.5000,"801,580",$293420144.0000,"839,866",$557180818.0000,"881,230",$478655087.0000,puts,2020-09-11
M-M (ALL),14035951,0,$0,"14,035,951",$8266600242.5000,0,$0,"13,152,500",$7619218619.5000,puts,2020-09-11
TOTAL PUTS,28185478,"8,696,969",$3693228261.0000,"19,488,509",$11451161116.5000,"7,496,807",$3740914570.0000,"20,688,671",$11403474807.5000,puts,2020-09-11
CUST (1-10),17170754,"13,229,277",$7568796571.0000,"3,941,477",$2695020971.1500,"6,568,862",$3533398361.0000,"9,778,164",$6084373538.0000,comb,2020-09-11
CUST (11-49),9018481,"6,764,360",$2427527725.0000,"2,254,121",$1017933951.5000,"3,804,365",$1394417972.0000,"5,402,673",$2171459994.0000,comb,2020-09-11
CUST (50-UP),12383564,"7,971,058",$2160261159.5200,"4,412,506",$1681861172.0000,"5,344,205",$1575381460.0000,"7,487,778",$2377914093.0200,comb,2020-09-11
CUST (ALL),38572799,"27,964,695",$12156585455.5200,"10,608,104",$5394816094.6500,"15,717,432",$6503197793.0000,"22,668,615",$10633747625.0200,comb,2020-09-11
FIRM (ALL),3178256,"1,615,435",$783433327.5000,"1,562,821",$567551234.0000,"1,847,903",$1041288389.0000,"1,706,417",$753297712.0000,comb,2020-09-11
M-M (ALL),38895597,0,$0,"38,895,597",$20589251031.5000,0,$0,"38,706,285",$20560105624.1500,comb,2020-09-11
TOTAL COMB,80646652,"29,580,130",$12940018783.0200,"51,066,522",$26551618360.1500,"17,565,335",$7544486182.0000,"63,081,317",$31947150961.1700,comb,2020-09-11
CUST (1-10),14859975,"12,048,725",$6974800835.0000,"2,811,250",$1886605639.0000,"4,716,893",$2490427921.0000,"9,343,590",$5812101005.5000,calls,2020-09-18
CUST (11-49),7993132,"6,304,094",$2140503130.0000,"1,689,038",$809979476.0000,"2,856,438",$906634957.0000,"5,196,636",$2000745547.0000,calls,2020-09-18
CUST (50-UP),10187906,"7,028,031",$1951604773.0000,"3,159,875",$1505279661.0000,"3,984,664",$1212021659.0000,"6,414,410",$2217635784.6900,calls,2020-09-18
CUST (ALL),33041013,"25,380,850",$11066908738.0000,"7,660,163",$4201864776.0000,"11,557,995",$4609084537.0000,"20,954,636",$10030482337.1900,calls,2020-09-18
FIRM (ALL),2033462,"847,370",$333140112.1900,"1,186,092",$501836308.0000,"948,509",$419331809.0000,"1,053,690",$461514795.0000,calls,2020-09-18
M-M (ALL),30851200,0,$0,"30,851,200",$15681825681.0000,0,$0,"31,410,845",$16265162137.0000,calls,2020-09-18
TOTAL CALLS,65925675,"26,228,220",$11400048850.1900,"39,697,455",$20385526765.0000,"12,506,504",$5028416346.0000,"53,419,171",$26757159269.1900,calls,2020-09-18
CUST (1-10),6422924,"4,275,744",$2250621282.0000,"2,147,180",$1361443903.7000,"3,389,213",$2007428911.0000,"3,074,451",$1768959772.0000,puts,2020-09-18
CUST (11-49),3420009,"2,201,211",$686524027.0000,"1,218,798",$499430209.0000,"1,871,040",$755829111.0000,"1,670,467",$594627455.0000,puts,2020-09-18
CUST (50-UP),5173173,"2,678,006",$819565701.0000,"2,495,167",$998103361.0000,"2,716,317",$802582175.0000,"2,764,077",$807946118.0000,puts,2020-09-18
CUST (ALL),15016106,"9,154,961",$3756711010.0000,"5,861,145",$2858977473.7000,"7,976,570",$3565840197.0000,"7,508,995",$3171533345.0000,puts,2020-09-18
FIRM (ALL),1705511,"872,847",$362337305.0000,"832,664",$508432236.0000,"712,683",$424597279.0000,"1,251,156",$639844528.0000,puts,2020-09-18
M-M (ALL),16373195,0,$0,"16,373,195",$8084898305.0000,0,$0,"15,645,408",$7769540980.7000,puts,2020-09-18
TOTAL PUTS,33094812,"10,027,808",$4119048315.0000,"23,067,004",$11452308014.7000,"8,689,253",$3990437476.0000,"24,405,559",$11580918853.7000,puts,2020-09-18
CUST (1-10),21282899,"16,324,469",$9225422117.0000,"4,958,430",$3248049542.7000,"8,106,106",$4497856832.0000,"12,418,041",$7581060777.5000,comb,2020-09-18
CUST (11-49),11413141,"8,505,305",$2827027157.0000,"2,907,836",$1309409685.0000,"4,727,478",$1662464068.0000,"6,867,103",$2595373002.0000,comb,2020-09-18
CUST (50-UP),15361079,"9,706,037",$2771170474.0000,"5,655,042",$2503383022.0000,"6,700,981",$2014603834.0000,"9,178,487",$3025581902.6900,comb,2020-09-18
CUST (ALL),48057119,"34,535,811",$14823619748.0000,"13,521,308",$7060842249.7000,"19,534,565",$8174924734.0000,"28,463,631",$13202015682.1900,comb,2020-09-18
FIRM (ALL),3738973,"1,720,217",$695477417.1900,"2,018,756",$1010268544.0000,"1,661,192",$843929088.0000,"2,304,846",$1101359323.0000,comb,2020-09-18
M-M (ALL),47224395,0,$0,"47,224,395",$23766723986.0000,0,$0,"47,056,253",$24034703117.7000,comb,2020-09-18
TOTAL COMB,99020487,"36,256,028",$15519097165.1900,"62,764,459",$31837834779.7000,"21,195,757",$9018853822.0000,"77,824,730",$38338078122.8900,comb,2020-09-18
CUST (1-10),12950249,"10,427,195",$6017653670.0000,"2,523,054",$1513204421.0000,"4,727,744",$2132915132.5000,"7,615,225",$5194946486.0000,calls,2020-09-25
CUST (11-49),6886907,"5,422,013",$1817603209.0000,"1,464,894",$586012437.0000,"2,807,872",$770161062.5000,"4,040,986",$1696308978.5000,calls,2020-09-25
CUST (50-UP),8457484,"6,019,340",$1567080372.0000,"2,438,144",$1015109701.0000,"3,731,171",$832862487.5000,"4,895,313",$1712124427.0000,calls,2020-09-25
CUST (ALL),28294640,"21,868,548",$9402337251.0000,"6,426,092",$3114326559.0000,"11,266,787",$3735938682.5000,"16,551,524",$8603379891.5000,calls,2020-09-25
FIRM (ALL),1435431,"643,423",$243790946.0000,"792,008",$446162910.0000,"626,486",$327463863.0000,"864,152",$409013468.0000,calls,2020-09-25
M-M (ALL),26801524,0,$0,"26,801,524",$13472903530.0000,0,$0,"27,222,646",$13603725291.0000,calls,2020-09-25
TOTAL CALLS,56531595,"22,511,971",$9646128197.0000,"34,019,624",$17033392999.0000,"11,893,273",$4063402545.5000,"44,638,322",$22616118650.5000,calls,2020-09-25
CUST (1-10),5932556,"4,204,507",$2331022325.0000,"1,728,049",$1261774333.0000,"3,347,208",$1829074844.0000,"2,880,393",$1792269003.0000,puts,2020-09-25
CUST (11-49),2916111,"2,050,130",$705999410.0000,"865,981",$450545746.0000,"1,820,225",$635247239.0000,"1,455,853",$579529376.0000,puts,2020-09-25
CUST (50-UP),4255743,"2,343,840",$726480862.0000,"1,911,903",$916773764.0000,"2,447,243",$916382190.5000,"2,418,259",$787373953.0000,puts,2020-09-25
CUST (ALL),13104410,"8,598,477",$3763502597.0000,"4,505,933",$2629093843.0000,"7,614,676",$3380704273.5000,"6,754,505",$3159172332.0000,puts,2020-09-25
FIRM (ALL),1559723,"771,162",$324397482.0000,"788,561",$496617459.0000,"566,782",$306540967.0000,"764,143",$459799726.0000,puts,2020-09-25
M-M (ALL),15152854,0,$0,"15,152,854",$7847697502.5000,0,$0,"14,116,881",$7755091585.0000,puts,2020-09-25
TOTAL PUTS,29816987,"9,369,639",$4087900079.0000,"20,447,348",$10973408804.5000,"8,181,458",$3687245240.5000,"21,635,529",$11374063643.0000,puts,2020-09-25
CUST (1-10),18882805,"14,631,702",$8348675995.0000,"4,251,103",$2774978754.0000,"8,074,952",$3961989976.5000,"10,495,618",$6987215489.0000,comb,2020-09-25
CUST (11-49),9803018,"7,472,143",$2523602619.0000,"2,330,875",$1036558183.0000,"4,628,097",$1405408301.5000,"5,496,839",$2275838354.5000,comb,2020-09-25
CUST (50-UP),12713227,"8,363,180",$2293561234.0000,"4,350,047",$1931883465.0000,"6,178,414",$1749244678.0000,"7,313,572",$2499498380.0000,comb,2020-09-25
CUST (ALL),41399050,"30,467,025",$13165839848.0000,"10,932,025",$5743420402.0000,"18,881,463",$7116642956.0000,"23,306,029",$11762552223.5000,comb,2020-09-25
FIRM (ALL),2995154,"1,414,585",$568188428.0000,"1,580,569",$942780369.0000,"1,193,268",$634004830.0000,"1,628,295",$868813194.0000,comb,2020-09-25
M-M (ALL),41954378,0,$0,"41,954,378",$21320601032.5000,0,$0,"41,339,527",$21358816876.0000,comb,2020-09-25
TOTAL COMB,86348582,"31,881,610",$13734028276.0000,"54,466,972",$28006801803.5000,"20,074,731",$7750647786.0000,"66,273,851",$33990182293.5000,comb,2020-09-25
CUST (1-10),13109635,"10,826,504",$5664544376.0000,"2,283,131",$1460500587.0000,"4,353,824",$1904148107.0000,"8,697,359",$5225284931.0000,calls,2020-10-02
CUST (11-49),6568721,"5,320,764",$1654228604.0000,"1,247,957",$556423454.0000,"2,545,451",$698661470.0000,"4,446,841",$1634678432.0000,calls,2020-10-02
CUST (50-UP),7744915,"5,645,376",$1511806667.0000,"2,099,539",$934279786.5000,"3,373,645",$818069667.0000,"5,083,088",$1609616066.0000,calls,2020-10-02
CUST (ALL),27423271,"21,792,644",$8830579647.0000,"5,630,627",$2951203827.5000,"10,272,920",$3420879244.0000,"18,227,288",$8469579429.0000,calls,2020-10-02
FIRM (ALL),1779051,"1,000,624",$366349898.0000,"778,427",$328091352.0000,"769,633",$436968614.0000,"638,114",$308704789.0000,calls,2020-10-02
M-M (ALL),27289580,0,$0,"27,289,580",$12850685556.0000,0,$0,"26,583,947",$12690778204.5000,calls,2020-10-02
TOTAL CALLS,56491902,"22,793,268",$9196929545.0000,"33,698,634",$16129980735.5000,"11,042,553",$3857847858.0000,"45,449,349",$21469062422.5000,calls,2020-10-02
CUST (1-10),5507798,"3,732,808",$1723712076.0000,"1,774,990",$782356155.5000,"3,197,077",$1561435436.0000,"2,505,067",$1140370234.5000,puts,2020-10-02
CUST (11-49),2592483,"1,764,391",$509562560.0000,"828,092",$259556540.0000,"1,609,497",$528476543.0000,"1,252,919",$341892793.0000,puts,2020-10-02
CUST (50-UP),3606825,"2,091,618",$450382431.0000,"1,515,207",$499130896.0000,"2,123,386",$702050420.0000,"2,043,043",$509321645.0000,puts,2020-10-02
CUST (ALL),11707106,"7,588,817",$2683657067.0000,"4,118,289",$1541043591.5000,"6,929,960",$2791962399.0000,"5,801,029",$1991584672.5000,puts,2020-10-02
FIRM (ALL),1456482,"699,423",$300058703.0000,"757,059",$314088969.0000,"473,203",$217297312.0000,"531,597",$226132390.0000,puts,2020-10-02
M-M (ALL),13132212,0,$0,"13,132,212",$5780956521.5000,0,$0,"12,560,011",$5392828078.5000,puts,2020-10-02
TOTAL PUTS,26295800,"8,288,240",$2983715770.0000,"18,007,560",$7636089082.0000,"7,403,163",$3009259711.0000,"18,892,637",$7610545141.0000,puts,2020-10-02
CUST (1-10),18617433,"14,559,312",$7388256452.0000,"4,058,121",$2242856742.5000,"7,550,901",$3465583543.0000,"11,202,426",$6365655165.5000,comb,2020-10-02
CUST (11-49),9161204,"7,085,155",$2163791164.0000,"2,076,049",$815979994.0000,"4,154,948",$1227138013.0000,"5,699,760",$1976571225.0000,comb,2020-10-02
CUST (50-UP),11351740,"7,736,994",$1962189098.0000,"3,614,746",$1433410682.5000,"5,497,031",$1520120087.0000,"7,126,131",$2118937711.0000,comb,2020-10-02
CUST (ALL),39130377,"29,381,461",$11514236714.0000,"9,748,916",$4492247419.0000,"17,202,880",$6212841643.0000,"24,028,317",$10461164101.5000,comb,2020-10-02
FIRM (ALL),3235533,"1,700,047",$666408601.0000,"1,535,486",$642180321.0000,"1,242,836",$654265926.0000,"1,169,711",$534837179.0000,comb,2020-10-02
M-M (ALL),40421792,0,$0,"40,421,792",$18631642077.5000,0,$0,"39,143,958",$18083606283.0000,comb,2020-10-02
TOTAL COMB,82787702,"31,081,508",$12180645315.0000,"51,706,194",$23766069817.5000,"18,445,716",$6867107569.0000,"64,341,986",$29079607563.5000,comb,2020-10-02
CUST (1-10),13636785,"11,288,458",$5520422228.9000,"2,348,327",$1495333768.0000,"4,362,421",$1905305941.0000,"9,169,331",$5227382322.5000,calls,2020-10-09
CUST (11-49),7380977,"6,001,430",$1700100427.0000,"1,379,547",$590001681.0000,"2,695,891",$747199256.0000,"5,055,088",$1675469724.0000,calls,2020-10-09
CUST (50-UP),9385938,"6,591,002",$1537135424.0000,"2,794,936",$1041845253.0000,"3,735,486",$937485924.0000,"6,251,301",$1901794073.0000,calls,2020-10-09
CUST (ALL),30403700,"23,880,890",$8757658079.9000,"6,522,810",$3127180702.0000,"10,793,798",$3589991121.0000,"20,475,720",$8804646119.5000,calls,2020-10-09
FIRM (ALL),2141417,"1,177,007",$384630145.0000,"964,410",$389915199.0000,"948,850",$453342304.0000,"1,054,789",$513046100.0000,calls,2020-10-09
M-M (ALL),29258998,0,$0,"29,258,998",$13293947345.5000,0,$0,"28,530,958",$12592305826.9000,calls,2020-10-09
TOTAL CALLS,61804115,"25,057,897",$9142288224.9000,"36,746,218",$16811043246.5000,"11,742,648",$4043333425.0000,"50,061,467",$21909998046.4000,calls,2020-10-09
CUST (1-10),5297720,"3,452,467",$1544755405.0000,"1,845,253",$731138959.0000,"3,092,719",$1547358590.0000,"2,306,705",$959377846.0000,puts,2020-10-09
CUST (11-49),2728379,"1,798,608",$496420343.0000,"929,771",$268350110.0000,"1,680,551",$565615002.0000,"1,278,316",$337280460.0000,puts,2020-10-09
CUST (50-UP),3950569,"2,286,943",$618304823.0000,"1,663,626",$673873764.5000,"2,097,158",$563743111.5000,"2,262,364",$770950396.9000,puts,2020-10-09
CUST (ALL),11976668,"7,538,018",$2659480571.0000,"4,438,650",$1673362833.5000,"6,870,428",$2676716703.5000,"5,847,385",$2067608702.9000,puts,2020-10-09
FIRM (ALL),1658133,"792,903",$450126535.0000,"865,230",$528092949.0000,"606,236",$330416190.0000,"723,278",$521972390.0000,puts,2020-10-09
M-M (ALL),12998007,0,$0,"12,998,007",$5709570900.4000,0,$0,"12,585,481",$5423919802.5000,puts,2020-10-09
TOTAL PUTS,26632808,"8,330,921",$3109607106.0000,"18,301,887",$7911026682.9000,"7,476,664",$3007132893.5000,"19,156,144",$8013500895.4000,puts,2020-10-09
CUST (1-10),18934505,"14,740,925",$7065177633.9000,"4,193,580",$2226472727.0000,"7,455,140",$3452664531.0000,"11,476,036",$6186760168.5000,comb,2020-10-09
CUST (11-49),10109356,"7,800,038",$2196520770.0000,"2,309,318",$858351791.0000,"4,376,442",$1312814258.0000,"6,333,404",$2012750184.0000,comb,2020-10-09
CUST (50-UP),13336507,"8,877,945",$2155440247.0000,"4,458,562",$1715719017.5000,"5,832,644",$1501229035.5000,"8,513,665",$2672744469.9000,comb,2020-10-09
CUST (ALL),42380368,"31,418,908",$11417138650.9000,"10,961,460",$4800543535.5000,"17,664,226",$6266707824.5000,"26,323,105",$10872254822.4000,comb,2020-10-09
FIRM (ALL),3799550,"1,969,910",$834756680.0000,"1,829,640",$918008148.0000,"1,555,086",$783758494.0000,"1,778,067",$1035018490.0000,comb,2020-10-09
M-M (ALL),42257005,0,$0,"42,257,005",$19003518245.9000,0,$0,"41,116,439",$18016225629.4000,comb,2020-10-09
TOTAL COMB,88436923,"33,388,818",$12251895330.9000,"55,048,105",$24722069929.4000,"19,219,312",$7050466318.5000,"69,217,611",$29923498941.8000,comb,2020-10-09
CUST (1-10),16062447,"13,151,266",$7491385820.0000,"2,911,181",$2586446679.0000,"4,495,789",$2577299896.0000,"10,461,241",$7490301839.5000,calls,2020-10-16
CUST (11-49),8588629,"6,844,369",$2230095393.0000,"1,744,260",$1075301673.0000,"2,790,291",$980166122.0000,"5,765,923",$2404558578.0000,calls,2020-10-16
CUST (50-UP),10832300,"7,491,881",$2142476740.0000,"3,340,419",$1936454523.0000,"4,135,051",$1496527735.5000,"7,021,098",$2693032869.0000,calls,2020-10-16
CUST (ALL),35483376,"27,487,516",$11863957953.0000,"7,995,860",$5598202875.0000,"11,421,131",$5053993753.5000,"23,248,262",$12587893286.5000,calls,2020-10-16
FIRM (ALL),2098332,"978,798",$488816492.0000,"1,119,534",$472663934.0000,"1,076,850",$430697831.0000,"966,529",$609356733.0000,calls,2020-10-16
M-M (ALL),32316211,0,$0,"32,316,211",$18764055221.0000,0,$0,"33,185,147",$18505754871.0000,calls,2020-10-16
TOTAL CALLS,69897919,"28,466,314",$12352774445.0000,"41,431,605",$24834922030.0000,"12,497,981",$5484691584.5000,"57,399,938",$31703004890.5000,calls,2020-10-16
CUST (1-10),5744213,"3,740,659",$1759654842.0000,"2,003,554",$855840126.0000,"3,508,774",$1802297392.5000,"2,636,881",$1211481971.0000,puts,2020-10-16
CUST (11-49),3175492,"2,073,433",$563674655.0000,"1,102,059",$329105758.0000,"1,965,863",$674995687.0000,"1,482,712",$383334375.0000,puts,2020-10-16
CUST (50-UP),4609092,"2,487,299",$584976662.0000,"2,121,793",$769179173.0000,"2,616,904",$663145773.0000,"2,373,922",$567520994.0000,puts,2020-10-16
CUST (ALL),13528797,"8,301,391",$2908306159.0000,"5,227,406",$1954125057.0000,"8,091,541",$3140438852.5000,"6,493,515",$2162337340.0000,puts,2020-10-16
FIRM (ALL),1609494,"765,552",$478689010.0000,"843,942",$547308500.0000,"530,378",$287399977.0000,"871,181",$407537368.0000,puts,2020-10-16
M-M (ALL),15168516,0,$0,"15,168,516",$6405381231.5000,0,$0,"14,320,192",$6296096420.0000,puts,2020-10-16
TOTAL PUTS,30306807,"9,066,943",$3386995169.0000,"21,239,864",$8906814788.5000,"8,621,919",$3427838829.5000,"21,684,888",$8865971128.0000,puts,2020-10-16
CUST (1-10),21806660,"16,891,925",$9251040662.0000,"4,914,735",$3442286805.0000,"8,004,563",$4379597288.5000,"13,098,122",$8701783810.5000,comb,2020-10-16
CUST (11-49),11764121,"8,917,802",$2793770048.0000,"2,846,319",$1404407431.0000,"4,756,154",$1655161809.0000,"7,248,635",$2787892953.0000,comb,2020-10-16
CUST (50-UP),15441392,"9,979,180",$2727453402.0000,"5,462,212",$2705633696.0000,"6,751,955",$2159673508.5000,"9,395,020",$3260553863.0000,comb,2020-10-16
CUST (ALL),49012173,"35,788,907",$14772264112.0000,"13,223,266",$7552327932.0000,"19,512,672",$8194432606.0000,"29,741,777",$14750230626.5000,comb,2020-10-16
FIRM (ALL),3707826,"1,744,350",$967505502.0000,"1,963,476",$1019972434.0000,"1,607,228",$718097808.0000,"1,837,710",$1016894101.0000,comb,2020-10-16
M-M (ALL),47484727,0,$0,"47,484,727",$25169436452.5000,0,$0,"47,505,339",$24801851291.0000,comb,2020-10-16
TOTAL COMB,100204726,"37,533,257",$15739769614.0000,"62,671,469",$33741736818.5000,"21,119,900",$8912530414.0000,"79,084,826",$40568976018.5000,comb,2020-10-16
CUST (1-10),12834462,"10,451,432",$5145664997.0000,"2,383,030",$1379295579.0000,"4,909,524",$2103963183.0000,"7,582,276",$3976131863.5000,calls,2020-10-23
